wall_time,split,epoch,step,lr,total,pep_coord,mhc_coord,torsion,plddt,pep_plddt,pep_ca_rmsd,mhc_ca_rmsd
1782095235.9413717,train,32,2850,0.00013284181197666044,0.23164032399654388,0.14700207114219666,0.20768247544765472,0.06522209942340851,0.0010659126564860344,0.0070934053510427475,,
1782095245.3746,train,32,2900,0.00013283234843580716,0.18805427849292755,0.10038278996944427,0.219282329082489,0.06541063636541367,0.001455778256058693,0.008420807309448719,,
1782095254.843046,train,32,2950,0.00013282288456537412,0.2061372697353363,0.13224072754383087,0.16421453654766083,0.06539686024188995,0.0014448717702180147,0.007034379988908768,,
1782095264.3075202,train,32,3000,0.0001328134203654565,0.37991926074028015,0.2783794403076172,0.2756895124912262,0.06503194570541382,0.0010146675631403923,0.0061078667640686035,,
1782095273.7747521,train,32,3050,0.0001328039558361493,0.2194117307662964,0.14082324504852295,0.1781872659921646,0.06786759942770004,0.0010786820203065872,0.00647550355643034,,
1782095283.2895262,train,32,3100,0.00013279449097754734,0.2810184955596924,0.19239428639411926,0.21829549968242645,0.06789176911115646,0.0010445141233503819,0.006506390403956175,,
1782095292.7488203,train,32,3150,0.0001327850257897458,0.14851172268390656,0.0676046758890152,0.19843153655529022,0.06228814274072647,0.0015509790973737836,0.005502291023731232,,
1782095302.2293515,train,32,3200,0.00013277556027283967,0.37248900532722473,0.23638564348220825,0.3949991762638092,0.0743245929479599,0.0019126607803627849,0.009155790321528912,,
1782095311.6430845,train,32,3250,0.00013276609442692397,0.19180920720100403,0.09978733956813812,0.22722956538200378,0.07016965001821518,0.0012965681962668896,0.007991439662873745,,
1782095321.0667152,train,32,3300,0.0001327566282520937,0.18149641156196594,0.09296734631061554,0.202174574136734,0.07575353980064392,0.0010864128125831485,0.008884706534445286,,
1782095330.4701128,train,32,3350,0.0001327471617484439,0.19902794063091278,0.1097676008939743,0.22980938851833344,0.0633874386548996,0.001142770517617464,0.006092745810747147,,
1782095339.9443595,train,32,3400,0.0001327376949160695,0.28436893224716187,0.1747264713048935,0.29891806840896606,0.06956898421049118,0.0012843982549384236,0.007579101715236902,,
1782095349.4339685,train,32,3450,0.00013272822775506568,0.2064555138349533,0.1340111494064331,0.17314404249191284,0.0581275075674057,0.0009461064473725855,0.006834216881543398,,
1782095358.8195672,train,32,3500,0.0001327187602655274,0.30060914158821106,0.20112045109272003,0.24973149597644806,0.07378891855478287,0.0016135727055370808,0.009261440485715866,,
1782095368.1870337,train,32,3550,0.00013270929244754964,0.2992812395095825,0.1981065720319748,0.2629489004611969,0.0706745833158493,0.0010013763094320893,0.00821040477603674,,
1782095377.5317156,train,32,3600,0.00013269982430122747,0.25793832540512085,0.16646532714366913,0.22450394928455353,0.07050233334302902,0.0009583506616763771,0.008772946894168854,,
1782095387.015131,train,32,3650,0.00013269035582665604,0.25772809982299805,0.16059090197086334,0.2518504559993744,0.06809736043214798,0.0012591542908921838,0.005419088993221521,,
1782095396.3922563,train,32,3700,0.0001326808870239303,0.36670297384262085,0.2533491253852844,0.31734031438827515,0.0677691176533699,0.0013420190662145615,0.008584867231547832,,
1782095405.795445,train,32,3750,0.00013267141789314533,0.18375734984874725,0.10764177143573761,0.16276881098747253,0.07062800973653793,0.0010937892366200686,0.005941401701420546,,
1782095415.2162898,train,32,3800,0.00013266194843439635,0.28794804215431213,0.17821259796619415,0.30815961956977844,0.0651836022734642,0.0010374510893598199,0.004636126104742289,,
1782095424.643411,train,32,3850,0.0001326524786477781,0.30427855253219604,0.22640493512153625,0.18885578215122223,0.061114732176065445,0.0010230373591184616,0.0048019601963460445,,
1782095434.059367,train,32,3900,0.00013264300853338572,0.38277092576026917,0.25339576601982117,0.3802626430988312,0.0683927834033966,0.0011309946421533823,0.005764274392277002,,
1782095443.5222042,train,32,3950,0.00013263353809131424,0.24973028898239136,0.16210123896598816,0.21313665807247162,0.06845257431268692,0.0011859924998134375,0.007083157543092966,,
1782095452.9410422,train,32,4000,0.00013262406732165904,0.3033795654773712,0.21388226747512817,0.2254307121038437,0.06607282906770706,0.0010320917936041951,0.009516953490674496,,
1782095462.393705,train,32,4050,0.00013261459622451488,0.293997198343277,0.20633439719676971,0.20710022747516632,0.07157201319932938,0.001017382019199431,0.0046300385147333145,,
1782095471.8657305,train,32,4100,0.00013260512479997696,0.21873483061790466,0.12269715219736099,0.23690855503082275,0.07339689880609512,0.0011210315860807896,0.007126142270863056,,
1782095481.299115,train,32,4150,0.00013259565304814039,0.1292150616645813,0.05672357231378555,0.1535947024822235,0.0680074617266655,0.0008907198789529502,0.006812254432588816,,
1782095490.6096504,train,32,4200,0.0001325861809691001,0.3658653199672699,0.2610742747783661,0.2828797399997711,0.06799396127462387,0.00074151367880404,0.004868387244641781,,
1782095499.9722672,train,32,4250,0.00013257670856295126,0.19343750178813934,0.11643929034471512,0.17028401792049408,0.06861698627471924,0.001187153160572052,0.008180759847164154,,
1782095509.3821242,train,32,4300,0.00013256723582978893,0.19279280304908752,0.10615536570549011,0.2120942622423172,0.06700140982866287,0.0011318136239424348,0.008035789243876934,,
1782095518.9106426,train,32,4350,0.00013255776276970832,0.29689571261405945,0.1843748539686203,0.30276817083358765,0.07331892102956772,0.0016935981111600995,0.007927730679512024,,
